"CA Owner","Salesforce Record ID","Certificate Name","Parent Salesforce Record ID","Parent Certificate Name","Certificate Record Type","Revocation Status","SHA-256 Fingerprint","Parent SHA-256 Fingerprint","Audits Same as Parent?","Auditor","Standard Audit URL","Standard Audit Type","Standard Audit Statement Date","Standard Audit Period Start Date","Standard Audit Period End Date","NetSec Audit URL","NetSec Audit Type","NetSec Audit Statement Date","NetSec Audit Period Start Date","NetSec Audit Period End Date","TLS BR Audit URL","TLS BR Audit Type","TLS BR Audit Statement Date","TLS BR Audit Period Start Date","TLS BR Audit Period End Date","TLS EVG Audit URL","TLS EVG Audit Type","TLS EVG Audit Statement Date","TLS EVG Audit Period Start Date","TLS EVG Audit Period End Date","Code Signing Audit URL","Code Signing Audit Type","Code Signing Audit Statement Date","Code Signing Audit Period Start Date","Code Signing Audit Period End Date","S/MIME BR Audit URL","S/MIME BR Audit Type","S/MIME BR Audit Statement Date","S/MIME BR Audit Period Start Date","S/MIME BR Audit Period End Date","CP/CPS Same as Parent?","Certificate Policy (CP) URL","Certificate Practice Statement (CPS) URL","CP/CPS Last Updated Date","Test Website URL - Valid","Test Website URL - Expired","Test Website URL - Revoked","Technically Constrained","Subordinate CA Owner","Full CRL Issued By This CA","JSON Array of Partitioned CRLs","Valid From (GMT)","Valid To (GMT)","Derived Trust Bits","Chrome Status","Microsoft Status","Mozilla Status","Status of Root Cert","Authority Key Identifier","Subject Key Identifier","Country","TLS Capable","TLS EV Capable","Code Signing Capable","S/MIME Capable","CP Same as Parent?","CP Last Update Date","CPS Same as Parent?","CPS Last Update Date","Certificate Practice & Policy Statement"
"A-Trust","0018Z00002iKhg2QAC","A-Trust-nQual-01","001o000000HsfogAAB","A-Trust","Root Certificate","","7B1F8D8EFF5D7349FEDB7EAE89C29AACC41704F1503AE3C8C2EBA10225D0F568","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2004.11.30","2014.11.30","","Not Included","Removed","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Removed; Mozilla: Not Yet Included","","TlnOxwIyhzA=","Austria","False","False","False","False","false","","false","",""
"A-Trust","001o000000HshE1AAJ","A-Trust-nQual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","793CBF4559B9FDE38AB22DF16869F69881AE14C4B0139AC788A78A1AFCCA02FB","","false","Ernst & Young, LLP","https://cert.webtrust.org/SealFile?seal=1932&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","","","","","","https://cert.webtrust.org/SealFile?seal=1934&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","https://cert.webtrust.org/SealFile?seal=1933&file=pdf","WebTrust","2015.06.26","2015.06.26","2015.06.26","","","","","","","","","","","false","https://www.a-trust.at/docs/cp","https://www.a-trust.at/docs/cps","","https://test1.a-trust.at/","","","false","","","","2005.08.17","2015.08.17","","Not Included","Removed","Removed","Apple: Not Included; Google Chrome: Not Included; Microsoft: Removed; Mozilla: Removed","","RGqVZ1V5EU8=","Austria","False","False","False","False","false","","false","",""
"A-Trust","001o000000vmkrwAAA","A-Trust-nQual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","8688E58F4C7A945FADCE7F62BFEF521B82DA7DC38BFDB0163478A5FE42E57870","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2014.07.23","2025.07.23","","Not Included","Disabled","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Disabled; Mozilla: Not Yet Included","","RGqVZ1V5EU8=","Austria","False","True","False","False","false","","false","",""
"A-Trust","0018Z00002iKhRhQAK","A-Trust-Qual-01","001o000000HsfogAAB","A-Trust","Root Certificate","","E8A2F441657678975F2B97D775719C7D49D92234554540EC14D92E16FE27D2CB","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2004.11.30","2014.11.30","","Not Included","Removed","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Removed; Mozilla: Not Yet Included","","SzyMHYXpb60=","Austria","False","False","False","False","false","","false","",""
"A-Trust","001o000000rGWg9AAG","A-Trust-Qual-02","001o000000HsfogAAB","A-Trust","Root Certificate","","F28630BABF256E567B5821069FCF13148AB9A23E28FC0D70615AAE6ED284F4C8","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2014.07.01","2024.07.01","","Not Included","Disabled","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Disabled; Mozilla: Not Yet Included","","Qj0rJKbBRc4=","Austria","False","False","False","False","false","","false","",""
"A-Trust","0018Z00002iKhg7QAC","A-Trust-Qual-02","001o000000HsfogAAB","A-Trust","Root Certificate","","75C9D4361CB96E993ABD9620CF043BE9407A4633F202F0F4C0E17851CC6089CD","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2004.12.02","2014.12.02","","Not Included","Removed","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Removed; Mozilla: Not Yet Included","","Qj0rJKbBRc4=","Austria","False","False","False","False","false","","false","",""
"A-Trust","001o000000rGWZ3AAO","A-Trust-Qual-03","001o000000HsfogAAB","A-Trust","Root Certificate","","6BAF50AE3467EFF3C35FEFDC76A02A97FAB6267723EDA91E99F1B3DC2B28F82E","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2008.04.24","2018.04.24","","Not Included","Disabled","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Disabled; Mozilla: Not Yet Included","","RgbfN/LCNxA=","Austria","False","False","False","False","false","","false","",""
"A-Trust","001o000000rGWXbAAO","A-Trust-Root-05","001o000000HsfogAAB","A-Trust","Root Certificate","","2DDE9D0C0A90E7B32B5ABC01F41799D42E95A1E3C31C3B39373BB8141EA54471","","false","Ernst & Young, LLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false","","","","","","","false","","","","2013.09.23","2023.09.20","","Not Included","Disabled","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Disabled; Mozilla: Not Yet Included","","QPm5Z74D0gg=","Austria","False","False","False","False","false","","false","",""
"A-Trust","0011J00001W1raWQAR","A-Trust-Root-07","001o000000HsfogAAB","A-Trust","Root Certificate","","8AC552AD577E37AD2C6808D72AA331D6A96B4B3FEBFF34CE9BC0578E08055EC3","","false","Zentrum für sichere Informationstechnologie - Austria (A-SIT)","https://www.a-sit.at/wp-content/uploads/2024/03/VIG-23-094_audit-attestation_a-trust_etsi_standard_audit_final_sign-HL.pdf","ETSI EN 319 411","2024.03.04","2022.12.15","2023.12.14","","","","","","https://www.a-sit.at/wp-content/uploads/2024/03/VIG-23-094-TLS-BR_audit-attestation_a-trust_etsi_TLS-BR_audit_final_sign-HL.pdf","ETSI EN 319 411","2024.03.04","2022.12.15","2023.12.14","https://www.a-sit.at/wp-content/uploads/2024/03/VIG-23-094-TLS-EV_audit-attestation_a-trust_etsi_TLS-EV_audit_final_sign-HL.pdf","ETSI EN 319 411","2024.03.04","2022.12.15","2023.12.14","","","","","","","","","","","false","","https://www.a-trust.at/downloads/Downloads/Certificate%20Practice%20Statement/a-sign-ssl-ev/a-sign-ssl-ev_cps.pdf; https://www.a-trust.at/downloads/Downloads/Certificate%20Practice%20Statement/a-sign-ssl-ev/a-sign-ssl-ev_cps.pdf","2023.03.27","https://certtest1.einfach-anmelden.at/","https://certtest3.einfach-anmelden.at/","https://certtest2.einfach-anmelden.at/","false","","http://crl.a-trust.at/crl/A-Trust-Root-07","","2018.05.17","2036.11.19","Server Authentication","Not Included","Included","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Included; Mozilla: Not Yet Included","","RMARrVMnh/Q=","Austria","True","False","False","False","false","","false","",""
"A-Trust","0018Z000033eMIOQA2","A-Trust-Root-09","001o000000HsfogAAB","A-Trust","Root Certificate","","7A38F708A35A31E42E1CF3220F9A2D273E7666354618B2464657D43D8E77ADC2","","false","Zentrum für sichere Informationstechnologie - Austria (A-SIT)","https://www.a-sit.at/wp-content/uploads/2024/03/VIG-23-094_audit-attestation_a-trust_etsi_standard_audit_final_sign-HL.pdf","ETSI EN 319 411","2024.03.04","2022.12.15","2023.12.14","","","","","","https://www.a-sit.at/wp-content/uploads/2024/03/VIG-23-094-TLS-BR_audit-attestation_a-trust_etsi_TLS-BR_audit_final_sign-HL.pdf","ETSI EN 319 411","2024.03.04","2022.12.15","2023.12.14","https://www.a-sit.at/wp-content/uploads/2024/03/VIG-23-094-TLS-EV_audit-attestation_a-trust_etsi_TLS-EV_audit_final_sign-HL.pdf","ETSI EN 319 411","2024.03.04","2022.12.15","2023.12.14","","","","","","","","","","","false","","https://www.a-trust.at/downloads/Downloads/Certificate%20Practice%20Statement/a-sign-ssl-ev/a-sign-ssl-ev_cps.pdf","2023.03.27","https://certtest4.einfach-anmelden.at/","https://certtest6.einfach-anmelden.at/","https://certtest5.einfach-anmelden.at/","false","","http://crl.a-trust.at/crl/A-Trust-Root-09","","2023.02.21","2036.07.14","Server Authentication;Client Authentication","Not Included","Included","Not Yet Included","Apple: Not Included; Google Chrome: Not Included; Microsoft: Included; Mozilla: Not Yet Included","","Qjs/lA//lNE=","Austria","True","False","False","False","false","","false","",""
